Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Escherichia coli,Amikacina,36,18,1501,,1555,Negativo
Escherichia coli,Amoxicilina-Clavulanato,136,240,464,,840,Negativo
Escherichia coli,Ampicilina,1274,10,275,,1559,Negativo
Escherichia coli,Ampicilina-Sulbactam,310,153,255,,718,Negativo
Escherichia coli,Cefazolina,927,,6,623,1556,Negativo
Escherichia coli,Cefepima,854,59,639,,1552,Negativo
Escherichia coli,Cefoxitina,292,87,1179,,1558,Negativo
Escherichia coli,Ceftazidima,849,16,692,,1557,Negativo
Escherichia coli,Ceftriaxona,925,9,624,,1558,Negativo
Escherichia coli,Cefuroxima,513,15,312,,840,Negativo
Escherichia coli,Ciprofloxacino,1016,199,336,,1551,Negativo
Escherichia coli,Colistina,49,,,670,719,Negativo
Escherichia coli,Ertapenem,181,42,1319,,1542,Negativo
Escherichia coli,Fosfomicina c/G6P,,,573,145,718,Negativo
Escherichia coli,Gentamicina,532,21,1005,,1558,Negativo
Escherichia coli,Imipenem,125,66,1362,,1553,Negativo
Escherichia coli,Levofloxacino,969,,,586,1555,Negativo
Escherichia coli,Meropenem,122,15,1409,,1546,Negativo
Escherichia coli,Nitrofurantoína,152,42,646,,840,Negativo
Escherichia coli,Norfloxacino,536,5,295,,836,Negativo
Escherichia coli,Piperacilina-Tazobactam,180,160,1216,,1556,Negativo
Escherichia coli,Tetraciclina,574,4,261,,839,Negativo
Escherichia coli,Tigeciclina,22,22,468,203,715,Negativo
Escherichia coli,Trimetoprim-Sulfametoxazol,908,,648,,1556,Negativo
Total Escherichia coli,,11482,1183,15485,2227,30377,
Klebsiella pneumoniae,Amikacina,7,1,490,,498,Negativo
Klebsiella pneumoniae,Amoxicilina-Clavulanato,28,42,90,,160,Negativo
Klebsiella pneumoniae,Ampicilina,498,,,,498,Negativo
Klebsiella pneumoniae,Ampicilina-Sulbactam,143,48,148,,339,Negativo
Klebsiella pneumoniae,Cefazolina,258,,2,239,499,Negativo
Klebsiella pneumoniae,Cefepima,246,16,236,,498,Negativo
Klebsiella pneumoniae,Cefoxitina,89,10,398,,497,Negativo
Klebsiella pneumoniae,Ceftazidima,238,2,258,,498,Negativo
Klebsiella pneumoniae,Ceftriaxona,260,2,235,,497,Negativo
Klebsiella pneumoniae,Cefuroxima,89,3,68,,160,Negativo
Klebsiella pneumoniae,Ciprofloxacino,257,39,203,,499,Negativo
Klebsiella pneumoniae,Colistina,21,,,316,337,Negativo
Klebsiella pneumoniae,Ertapenem,75,20,401,,496,Negativo
Klebsiella pneumoniae,Gentamicina,182,5,311,,498,Negativo
Klebsiella pneumoniae,Imipenem,44,26,427,,497,Negativo
Klebsiella pneumoniae,Levofloxacino,165,,,334,499,Negativo
Klebsiella pneumoniae,Meropenem,51,12,434,,497,Negativo
Klebsiella pneumoniae,Nitrofurantoína,65,31,64,,160,Negativo
Klebsiella pneumoniae,Norfloxacino,62,8,90,,160,Negativo
Klebsiella pneumoniae,Piperacilina-Tazobactam,58,65,374,,497,Negativo
Klebsiella pneumoniae,Tetraciclina,90,,70,,160,Negativo
Klebsiella pneumoniae,Tigeciclina,26,40,222,50,338,Negativo
Klebsiella pneumoniae,Trimetoprim-Sulfametoxazol,274,,224,,498,Negativo
Total Klebsiella pneumoniae,,3226,370,4745,939,9280,
